	T5161	T54	T55	T64	T65	T74	T75	T84	T85
K09924	-0.147183548994326	0.0229169624713011	0.00971512528444213	0.0757934455480842	-0.092210007102814	-0.0221002068923872	-0.130507678306678	-0.0464340972670569	-0.117519431927365
K09925	-0.128368701575368	0.0136424467514422	0.00344587486595703	0.068156579034411	-0.0930391174778872	-0.0222913674380155	-0.109894696465476	-0.0492786620580132	0.0795348764160767
K09926	-0.147559875872085	0.0240032703490662	0.00927569674413062	0.0738863383084669	-0.0921169058720139	-0.021644213479052	-0.128593382255861	-0.0474739210801367	0.0793573176086268
K09929	0	0	0	0	0	0	0	0	0
K09930	-1.38909313981633	0.529582771108209	0.123544323193755	-0.653063110545926	0.128321068516919	-0.212953460818446	-0.686162308404755	0.569360705277823	0.899915741049651
K09935	0.355171872328047	0	0	0	0	0	0	0	0
K09936	-0.846048884280535	-0.431262475658544	-0.257261590564501	1.03740835703159	0.805307327302278	-0.454196427041671	-0.283273307993647	-0.179446107888538	0.18064176369825
K09939	-0.144224089514587	0.135224364308392	0.348672244180026	0.174105145350448	0.121319116625043	-0.0218941049673411	0.0699924135807189	-0.0470991434867006	0.079637339924672
K09940	-0.493747261860477	0.355845558161794	0.380254237779918	0.0353112657684721	1.02529213553752	1.17076279977729	0.900727683010336	0.367399835017481	0.135028204587537
K09943	-0.147662225909254	0.0239495608087029	0.00870142855974814	0.0746107947240601	-0.0912837118226881	-0.022237320000411	-0.13117357229748	-0.0475835398019626	0.0786285849475583
K09944	-0.22424443824892	0.239885465283062	0.227248328499888	0.698489693346645	-0.514714255804739	-0.225643061241106	-0.244675534217008	-0.0865939049350689	-0.00484005752268921
K09946	0.18409179803522	0.301294761278034	0.330903791782532	-0.725961863562938	0.0840717286138787	0.207318877409129	-0.0388861697896856	0.0341981126346492	-0.0406536521837854
K09949	0.754270581664553	-0.262143322637169	0.000955638078850059	0.795931891194507	-0.535671911446673	-0.609666223837142	0.138802187457147	-0.391221485063294	0.439624902620341
K09951	0.00871420351675683	0.145956723296646	0.225432376831171	0.412026481508461	-0.448826872468327	0.0388121211156517	-0.444765860945924	0.0177747708053539	0.233808165878068
K09954	-0.248039917717567	-0.266366583036216	-0.169773516260967	0.373708309111059	-0.830986688012289	-0.230385997160318	-0.507434396293811	-0.260838555767196	-0.0693415427191036
K09956	0.760910207621084	-0.313462771694211	0.486365140300298	-0.444967169960825	0.745793965324811	0.508353178748128	1.06365533669037	0.603882083538808	-0.372275655554096
K09960	0.00511808605529299	0.208574399889155	-0.185683522554063	-0.0148938974884613	-0.142295405625125	0.149382804603491	0.091321209019667	-0.0560796491569639	0.147573299102299
K09961	0.0523605496621274	-1.16614396667456	0.106999612856806	-0.244475992729791	0.23337762470404	-0.0490609077348768	-0.0763495760137416	0.102368862894263	0.198170812530606
K09962	-0.163259934838161	0.211084372262487	-0.120175281353397	-0.308720788757376	0	-0.0784087705681877	-0.126902606939194	0.0457589759243179	-0.0248198631278561
K09963	0.0505710380927737	-0.00771821701014924	0.15175861990554	0.213951736214369	0.0939153032019203	-0.0194719439931516	-0.0993377826133578	-0.0376322475321134	0.322591175088063
K09968	0.048661440205062	0.190768514471497	0.0261162242362997	0.0850860370569089	-0.0828567582607821	-0.0173179290039843	-0.129394357960232	-0.0287382566628719	-0.116484037107779
K09973	-0.146854580902138	0.0240596221795683	0.00981279703064011	0.0738901328277651	-0.0921168004603633	-0.0212807482981567	-0.128722945734985	-0.0470697070780953	0.0792021771915711
K09974	-0.147377758490616	0.0244568172842088	0.00857701361374391	0.0735695277356912	-0.0927449191726336	-0.0242858055125271	-0.129924293291806	-0.0458627378622248	0.0799108034759939
K09976	-0.214779098125883	0.218964657283583	-0.0744934322143799	-0.23269646021439	0.135038802470022	-0.0909090909090909	-0.21643834399463	0.0853272232123505	-0.0494836832930736
K09977	0.098172640733982	0.204850353929765	-0.0203425530008045	0.00191264521817173	-0.0775253987201051	0.135979868918608	0.0821317575723577	-0.0137611751315693	0.0402676961615085
K09979	-0.1461567880139	0.0241730109328008	0.00905932180599384	0.0744685188755331	-0.0916764871530553	-0.0213262690083069	-0.128886831384809	-0.0477740525062225	-0.118081397698114
K09997	-1.04500815812796	0.0499367135351918	0.045955757661563	1.10795557750511	-0.00334214950238344	-0.119405975985812	0.653765911955956	-0.438455879483029	0.166715426254147
K09998	-1.0014438908972	-0.112514317800232	0.331230930384192	1.43282549845165	0.562030354702854	0.0884301846224016	0.252435988781017	-0.457264336148867	0.120781577535044
K09999	-0.639228975538603	-0.15039447617478	0.177680227041463	1.47460129488529	0.669491156418946	0.212560293351746	0.237222186559975	-0.86228919037097	0.0104875885606235
K10000	0.12956691615847	-0.102799851325357	0.415717971971136	2.60007653145975	0.324820198411435	-0.444527374264139	0.011212226408318	-5.48262499064258	0.152073115935692
K10005	0.812533833323705	0.0878720834344941	0	-0.558805257837041	0.14408750006556	0.837802053730744	0.567437285463638	-0.155959576664932	-0.186714613530337
K10006	1.0076302202598	-0.255214083823419	0	-0.862400371600933	0.73377793481353	2.48847383901703	1.16656438517447	0.144087500065559	0.188649961801043
K10007	1.93025889996217	0.0308026713993987	-0.14408750006556	-0.868675340889254	0.562983515799571	1.36801223407816	0.14408750006556	-0.0357416992151786	-0.225527476899595
K10008	0.259181894310203	0.0751330677277552	0.211084372262487	0.0568731350198637	0.227500030957199	0.276123684318539	0.24881505401511	-0.0669968721969278	0.211084372262487
