	T5161	T54	T55	T64	T65	T74	T75	T84	T85
K00096	0.123648676257501	-0.0876171650846277	0.130858868733351	0.0321781609322694	0.115049967525958	-0.0604803284949169	-0.0151991196416035	-0.0108049476927102	0.0012822521517945
K00097	0.141699201929723	-0.272610584787325	0.130762075571453	0.0448897962011921	0.113512280063034	-0.190384013056566	-0.0152060696623292	-0.0105791882243128	-0.0120702526959862
K00099	0.0216626900125018	0.345526231516895	0.801567935017166	0.131328263200517	0.708776125009863	0.306901851839258	0.375368987984267	0.440849477481408	0.402031346109102
K00100	0	-0.14408750006556	-0.79939385047188	-0.720437500327798	-0.288175000131119	0	-0.14408750006556	0	0.14408750006556
K00101	0	0.144087500065559	0	0	0	0	0	0	0
K00104	-0.0779834902365098	-0.0135803971160561	-0.0434077412386545	-0.21790219553796	-0.103155994253354	-0.0601336684051855	-0.053134246689054	-0.0820512242400288	0.00943865391407751
K00105	0.0909090909090909	0.034035955889227	-0.04445800733842	-0.036633151543479	0.0706915980603229	-0.178476495453626	-0.203664939030337	-0.287427681330667	-0.120175281353397
K00111	0.0999577885046286	-0.14408750006556	0.211084372262487	-0.14408750006556	0.14408750006556	0.152551991373876	0	0.0441297115609311	0.14408750006556
K00112	0.435144475959356	0.14408750006556	0	0	0	0.422375160304584	0.14408750006556	0.14408750006556	-0.14408750006556
K00113	0.14408750006556	0.391091134556321	0	0.0548030101300927	0	0.240826621649169	0.325905681883738	0.14408750006556	0
K00116	-0.144176979239849	0.153199434180948	0.0024164181003014	0.374704149512864	-0.010911882155161	0.150955436414061	0.00387099208301287	-0.00109068482723564	0.0118262876405605
K00121	0.222290770239274	0.679884324661033	-0.208151185102507	1.4527349405252	1.49389123019378	0.351500260857954	0.600833237795053	0.530857983382878	0.496571658723375
K00123	0.455421344163268	0.189821504596983	-0.0332221566336618	-0.246220943743745	-0.124075481722886	0.505280844334513	0.350202246702889	0.104110880881873	0.0481992260542237
K00124	-0.36969179119555	-0.116312991316604	0.364329510703431	0.0503646324098781	0.24528243258045	0.000912701294310768	0.131641706534267	0.437632872369398	0.286255759096213
K00127	1.321578934089	0.486668957464054	0.0677105955189939	-0.629878805946366	0.379312729020131	0.681012110718546	1.35127122641223	-0.244777855395544	0.156883516608978
