	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T54	mean_md_H_T55	mean_md_H_T64	mean_md_H_T65	mean_md_H_T74	mean_md_H_T75	mean_md_H_T84	mean_md_H_T85	mean_md_H_T5161
C91.445.T1	1.48468418024638	0.839568645621751	2.32443654452325	2.42335253286067	2.42171575503579	2.51222792248808	1.7698103385393	1.75705772344779	1.80341372833917	1.80942951931598	1.5380674575712
C91.445.T2	1.38093133976719	1.21711696606916	1.96242480128615	2.07339124097922	1.98625680965331	2.09135565958908	1.84814125024	1.73030651928956	1.83305383276609	1.76474798363799	1.68272625751011
C91.45.T3	1.40118032168194	1.40225619022516	2.94154090995433	3.14269660011963	2.96177872067307	3.08029303099854	2.88854262148444	2.74714987498266	2.91849082686988	2.77142759878426	2.44845999803862
C91.45.T4	1.8003988334431	1.53718094507598	2.51015267881149	2.68290088435955	2.54832630630617	2.66044013828701	2.36287404213344	2.25079530166725	2.37669793530867	2.26383351183281	2.01504405882213
C91.45.T5	1.79004295836892	1.36116971162339	1.27277184335215	1.05030870731078	1.32879098981954	1.18938964822974	1.43024533480879	1.33952072372202	1.29399327416013	1.40588359512689	1.80764485315842
C91.I.T1	1.37408435461539	1.36729466015146	2.26895609573546	2.42711731796916	2.2937410093991	2.40673435008641	2.199809788984	2.07003536817616	2.19719481988467	2.08999496146606	1.92663977876603
C91.I.T2	1.26393139339923	1.37684845116643	1.69966941535266	1.73934625783483	1.44493318429927	1.55549494954447	2.57356661317343	2.30999216663229	2.52845836528973	2.35881339807433	2.69822989019867
C91.I.T3	2.34138669358492	2.22293159093854	4.0667259488665	4.26805504687153	4.11605134879829	4.23497834767056	3.7613560683694	3.69283684213497	3.84029451602613	3.7184021355395	3.17461353462202
C91.I.T4	1.64841010842063	1.54412632151781	2.22814860949714	2.39995768865945	2.21907031287383	2.33889137928757	2.37042217066413	2.19868739944398	2.3609078615729	2.21919817011725	2.12520547161438
C93.14.T3	0.985665154324834	0.810718690101312	1.39890386895662	1.30320895982527	1.41781237947285	1.42094294834697	1.23608243305222	1.13909883777961	1.21046749253543	1.23590717272476	1.41814784366434
C93.14.T4	0.690442427953891	0.523623456796167	1.50141196478825	1.35815720796784	1.58585713180188	1.5264348742825	1.07514089889846	1.07766080805614	1.0474952800304	1.13073671250313	1.31086914086037
C93.14.T5	1.01566379765289	0.865453871425515	2.21597538667033	2.08427579475154	2.41611012813889	2.27080509849006	1.28157496521258	1.55727145481774	1.29815167843756	1.53002602367528	1.63652535773575
C93.145.T1	0.693509599115028	0.852964231507475	4.17678352852355	4.37417589947844	4.23539935404119	4.35148562213505	3.81663019447206	3.76377903348063	3.90050251704408	3.78844874017238	3.22927578574389
C93.145.T2	1.07549606580352	1.24320563502295	2.36644656525575	2.33623300090452	2.52067318426962	2.5211025034122	1.47497635380567	1.59939443667443	1.50763650073341	1.63136936988415	1.46789930922686
C93.15.T3	1.5818318531455	1.59178781622321	1.92682795375742	1.76173149458039	2.1169868822406	1.94365885771093	1.22746732168405	1.39950712991247	1.17697824386344	1.37748654709985	1.61316578603494
C93.15.T4	0.756619424332983	0.751868105526871	2.22775414316906	2.17859694463177	2.38079778380516	2.36919961060922	1.36002717374148	1.48169287403724	1.38327777318561	1.51109767990831	1.38952834399017
C93.15.T5	0.990664638158297	0.860485801897744	2.1848745186774	2.05429112710871	2.38303484448732	2.23998567826514	1.25709597974597	1.52605376625173	1.27212011647343	1.50011926779814	1.60453852352848
C93.24.T2	0.973309291476028	1.02572034383858	2.57355898292375	2.6959001553921	2.66806550823697	2.76486107452399	2.01642049122044	2.01476425411025	2.06346863774702	2.04516648262462	1.70479357841479
C93.24.T3	1.6288801404664	1.51393437323112	1.19623888859866	0.981269528068059	1.15130255026687	1.08803758821978	1.69645188384615	1.51075610135942	1.56580887176453	1.61252273963252	2.04999324116515
C93.24.T4	0.581286135000984	0.52539700497517	1.75974333315275	1.6823618300035	1.87468549681411	1.86077817588924	1.13719094729099	1.17466506335781	1.14359041554779	1.22853533598178	1.24811154887566
C93.24.T5	1.26236383405862	1.42429483711893	1.91429542132316	1.9042544923749	2.0307668260913	2.06088050885833	1.28701683981416	1.30794585498807	1.31055720185102	1.37989397567293	1.27877321863982
C93.245.T1	0.550774450364984	0.275555131056427	3.85639181763813	4.05054104316139	3.91609322355908	4.03104905329244	3.49990307004384	3.44445213844388	3.58078329385977	3.46936182969982	2.91960849869528
C93.25.T2	0.783951913952606	0.815006932514024	2.75977357547586	2.83642197344993	2.89700180622398	2.96158059786576	1.97267512401507	2.03409955910564	2.04301863048995	2.08232029325242	1.72269675790901
