	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T64	mean_md_H_T65	mean_md_H_T54	mean_md_H_T55	mean_md_H_T74	mean_md_H_T75	mean_md_H_T84	mean_md_H_T85	mean_md_H_T5161
142262.14341.SAMPLE1498	1.03307802149178	1.10028112004059	1.26079440368301	1.35819509271646	1.3283643562475	1.43606494877997	2.02404361635221	1.76020955837821	1.88966240239648	1.83046729270104	2.09021510861283
142262.14341.SAMPLE1499	1.14132096017179	1.23000666817806	1.58396926710575	1.54278816063295	1.68670091046411	1.51839704489639	2.1830467045316	2.04293402909626	2.10545376770574	2.01777158236529	2.28980677014657
142262.14341.SAMPLE1500	0.94401262128806	0.93806526587646	1.42084391075772	1.36819589499461	1.35829422825146	1.19908894637026	1.14721352900459	1.13379378849226	1.07888194547532	1.09375385483473	1.19283786996506
142262.14341.SAMPLE1501	1.66860790361479	1.39172492703951	1.9265283693228	2.0925725018799	1.82770935829495	2.10741839400885	2.05780334781215	1.88008246255894	1.92441234197302	1.96048408656537	1.95552069562215
142262.14341.SAMPLE1502	1.32327586862552	1.45250210508389	1.14939568717579	1.1683158601882	1.11339725194065	1.0477047450896	1.34266831747881	1.18898441034542	1.23012963362708	1.22311478031297	1.42980258341819
142262.14341.SAMPLE1503	1.50688495551941	1.76226423216505	1.53066424256434	1.63636635280684	1.61467899206242	1.77327715255541	2.41352906996159	2.14853063935354	2.25431519801282	2.20214101880521	2.46359397473324
142262.14341.SAMPLE1504	0.611172666770986	0.497211916583577	1.17777428367781	1.29803542852376	1.16065698240859	1.31140283623936	1.65654997920445	1.40130540343017	1.5204227112062	1.50002245161355	1.70312169839672
142262.14341.SAMPLE1505	1.07240919239307	0.942908255260189	1.68485581684541	1.6534604162206	1.55705742052281	1.50922815529447	1.07309076064745	1.12154733389449	1.07821373963285	1.13458548243488	1.05431172723845
142262.14341.SAMPLE1506	0.810697748845836	0.839437413714271	1.21949886072152	1.34749289175466	1.23914091264724	1.40822028155819	1.86212694431836	1.59437573003802	1.71757312431809	1.68176150450149	1.91177219452094
142262.14341.SAMPLE1507	1.02929746936723	0.943496998360591	2.03127940795347	2.08714145947205	1.87267644126966	1.96312401493481	1.40934312963655	1.39683382012505	1.37804306860507	1.48237285914105	1.27022898593002
142262.14341.SAMPLE1508	1.25951987406082	1.26488344766119	1.89281324311692	2.02604344691679	1.97514193666537	2.17192000625332	2.82639488313849	2.56213626427215	2.64671859720259	2.60315958559492	2.86158582902568
142262.14341.SAMPLE1509	1.62670101236485	1.13385267046396	1.64050356976749	1.75258793578122	1.72639330203158	1.89383112191775	2.54679214345504	2.28215124201058	2.38097868564029	2.33074228370028	2.59272182455556
142262.14341.SAMPLE1510	0.63382893667784	0.627179715042991	1.11651150828111	1.19738548109486	1.12131275190778	1.16316981972192	1.61619577070357	1.37348479223938	1.49587670454567	1.45433702995633	1.70055356528846
142262.14341.SAMPLE1511	1.45238143223858	1.26718470025916	1.62238540797305	1.77646961298624	1.52044387131931	1.78662548213857	1.79058732279135	1.5915137253786	1.64746903548893	1.67706970361798	1.70619611637934
142262.14341.SAMPLE1512	1.17733647824423	1.34233295496643	1.85673843481528	2.03033774505592	1.88974355859676	2.15649235733136	2.6632798079298	2.40704076646604	2.46304785163557	2.45422047459617	2.66666148232036
142262.14341.SAMPLE1513	1.51393875954807	1.37274084405834	1.42746502665364	1.41300965284652	1.31737666926833	1.27335778891874	1.09197954529698	1.041004490539	1.01606362602274	1.05034814740306	1.0869907175949
142262.14341.SAMPLE1514	0.721230223364939	0.697938736156686	1.19414090067521	1.29270913324894	1.24102439700824	1.34026147763157	1.8850125132512	1.62022751474234	1.75565180478214	1.70018985314357	1.95699156198395
142262.14341.SAMPLE1515	1.4040884121793	1.34582771659786	2.49389827383347	2.50957343066288	2.33709653118472	2.37401890108667	1.61844034510085	1.70476270708828	1.68361663741647	1.79629084420027	1.50690318045066
142262.14341.SAMPLE1516	0.948889469099703	0.86283581606434	1.44139816659713	1.60314132719951	1.41727799485649	1.67812314617983	2.01179962608472	1.76562567235046	1.83587826509031	1.84350861167986	2.01188810250513
142262.14341.SAMPLE1517	1.43573083881307	1.26699727197444	1.45470876501227	1.36133570228308	1.4372588929844	1.20055813365849	1.38565141015206	1.38706779894745	1.33178719973436	1.3234914864754	1.50904560690785
142262.14341.SAMPLE1518	0.925885056464886	0.895418304640511	1.3959382179978	1.54337142085698	1.32917954796138	1.56791162600253	1.73881610005697	1.50885683793925	1.58795642988894	1.60172641835694	1.71747815484307
142262.14341.SAMPLE1519	1.03201403406695	0.976628580631718	1.91218468576459	1.90576288777631	1.7680834771742	1.7648517461673	1.16135932360253	1.24061052539997	1.20528827256868	1.30116230140447	1.1042807515563
142262.14341.SAMPLE1520	1.07765617415714	0.907765741243376	1.32756164104501	1.37594712718471	1.42964829750498	1.38975016714894	2.0636814497929	1.84643074686733	1.95726227383292	1.88237932759655	2.1577783203409
142262.14341.SAMPLE1521	1.01149146667558	0.74902643272624	2.04613456986407	2.08273193177654	1.89285118219035	1.94855796833739	1.34467470205912	1.36990735827611	1.33903642252386	1.45116612662551	1.22404336739057
142262.14341.SAMPLE1522	0.968791352560115	1.10064517253343	1.11436352241259	1.1994912542384	1.10912313584858	1.16328950850826	1.58154784847994	1.33768333979891	1.45897595868907	1.42304415815496	1.66011937357809
142262.14341.SAMPLE1523	1.27120258069161	1.48977629800208	1.23172589801088	1.29723723318802	1.30775914059164	1.31680528269872	1.94011082599819	1.70235286002031	1.82738124044129	1.7604473417078	2.03101513047064
142262.14341.SAMPLE1524	1.02462855455079	0.93427332581638	1.39839959866505	1.45358639117404	1.253828417832	1.37668590422731	1.26980517328128	1.10475866884092	1.14318506626014	1.21002333497772	1.22251456395962
142262.14341.SAMPLE1525	1.34446118285879	1.29919026978725	1.18278887845302	1.24263342270832	1.10786287427481	1.15844877008349	1.33010903411618	1.12622488162088	1.19874220797127	1.21229802305422	1.36030292943924
